%angle (º)
%North West South East North West South East
0 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
5 0.991 0.992 0.998 1.003 0.995 0.996 1.001 1.007
10 0.973 0.974 0.995 0.995 0.988 0.989 1.010 1.010
15 0.947 0.952 0.974 0.981 0.980 0.985 1.009 1.015
20 0.907 0.915 0.947 0.957 0.966 0.974 1.008 1.018
25 0.865 0.875 0.918 0.926 0.955 0.966 1.013 1.022
30 0.811 0.833 0.878 0.887 0.936 0.962 1.014 1.024
35 0.755 0.781 0.832 0.839 0.922 0.954 1.015 1.024
40 0.693 0.721 0.775 0.785 0.905 0.941 1.012 1.025
45 0.628 0.657 0.713 0.724 0.888 0.929 1.008 1.024
50 0.561 0.588 0.645 0.655 0.873 0.914 1.003 1.019
55 0.486 0.512 0.571 0.581 0.847 0.893 0.995 1.013
60 0.412 0.435 0.492 0.500 0.824 0.870 0.984 0.999
65 0.332 0.353 0.409 0.417 0.785 0.834 0.967 0.987
70 0.255 0.272 0.322 0.328 0.745 0.794 0.942 0.960
75 0.181 0.190 0.234 0.238 0.699 0.736 0.903 0.920
80 0.116 0.114 0.148 0.149 0.668 0.655 0.855 0.858
85 0.068 0.049 0.067 0.062 0.781 0.564 0.773 0.712
