%Zenith
%angle (º)
%North West South East North West South East
0 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
5 0.997 0.997 0.990 0.991 1.001 1.000 0.994 0.995
10 0.988 0.987 0.974 0.975 1.003 1.002 0.990 0.990
15 0.969 0.974 0.944 0.945 1.004 1.008 0.977 0.978
20 0.942 0.943 0.915 0.916 1.003 1.003 0.973 0.975
25 0.906 0.911 0.871 0.874 1.000 1.005 0.961 0.964
30 0.861 0.862 0.823 0.824 0.994 0.995 0.950 0.952
35 0.808 0.809 0.769 0.771 0.986 0.988 0.939 0.941
40 0.747 0.750 0.709 0.710 0.976 0.979 0.926 0.926
45 0.683 0.684 0.646 0.644 0.966 0.967 0.914 0.910
50 0.615 0.616 0.577 0.574 0.957 0.958 0.898 0.893
55 0.539 0.539 0.504 0.497 0.940 0.939 0.879 0.866
60 0.462 0.459 0.427 0.420 0.924 0.918 0.853 0.840
65 0.379 0.377 0.348 0.340 0.896 0.892 0.822 0.804
70 0.294 0.294 0.266 0.259 0.858 0.860 0.779 0.758
75 0.210 0.210 0.182 0.178 0.811 0.812 0.704 0.689
80 0.129 0.129 0.103 0.101 0.744 0.742 0.595 0.579
85 0.056 0.048 0.037 0.035 0.638 0.546 0.420 0.397
