%angle (º)
%North West South East North West South East
0 1.000 1.000 1.000 1.000 1.000 1.000 1.000 1.000
5 1.010 0.997 0.978 0.986 1.014 1.001 0.982 0.990
10 1.020 0.990 0.953 0.973 1.036 1.005 0.968 0.988
15 1.014 0.970 0.917 0.946 1.049 1.004 0.949 0.979
20 0.999 0.947 0.881 0.913 1.063 1.008 0.937 0.972
25 0.974 0.913 0.835 0.876 1.075 1.007 0.921 0.966
30 0.939 0.871 0.781 0.831 1.085 1.006 0.902 0.960
35 0.897 0.818 0.723 0.780 1.095 0.999 0.883 0.952
40 0.841 0.757 0.661 0.720 1.098 0.988 0.863 0.940
45 0.784 0.694 0.598 0.656 1.108 0.981 0.846 0.927
50 0.716 0.624 0.529 0.587 1.114 0.971 0.822 0.913
55 0.643 0.547 0.456 0.511 1.121 0.954 0.796 0.892
60 0.563 0.468 0.384 0.434 1.125 0.935 0.767 0.867
65 0.472 0.381 0.315 0.354 1.117 0.902 0.745 0.837
70 0.380 0.298 0.253 0.274 1.112 0.871 0.741 0.802
75 0.281 0.212 0.201 0.194 1.088 0.819 0.778 0.749
80 0.179 0.125 0.170 0.117 1.029 0.722 0.980 0.673
85 0.076 0.043 0.172 0.048 0.876 0.496 1.978 0.550
